Training Log for All Configurations
Epoch 33: Loss = 0.0098
Epoch 34: Loss = 0.0245
Epoch 35: Loss = 0.0371
Epoch 36: Loss = 0.0016
Epoch 37: Loss = 0.0077
Epoch 38: Loss = 0.0016
Epoch 39: Loss = 0.0111
Epoch 40: Loss = 0.0191
Epoch 41: Loss = 0.0025
Epoch 42: Loss = 0.0057
Epoch 43: Loss = 0.0210
Epoch 44: Loss = 0.0132
Epoch 45: Loss = 0.0180
Epoch 46: Loss = 0.0006
Epoch 47: Loss = 0.0123
Epoch 48: Loss = 0.0007
Epoch 49: Loss = 0.0033
Epoch 50: Loss = 0.0024
Epoch 51: Loss = 0.0024
Epoch 52: Loss = 0.0116
Epoch 53: Loss = 0.0056
Epoch 54: Loss = 0.0072
Epoch 55: Loss = 0.0075
Epoch 56: Loss = 0.0054
Epoch 57: Loss = 0.0051
Epoch 58: Loss = 0.0048
Epoch 59: Loss = 0.0091
Epoch 60: Loss = 0.0183
Epoch 61: Loss = 0.0212
Epoch 62: Loss = 0.0255
Epoch 63: Loss = 0.0033
Epoch 64: Loss = 0.0186
Epoch 65: Loss = 0.0077
Epoch 66: Loss = 0.0045
Epoch 67: Loss = 0.0144
Epoch 68: Loss = 0.0058
Epoch 69: Loss = 0.0059
Epoch 70: Loss = 0.0239
Epoch 71: Loss = 0.0072
Epoch 72: Loss = 0.0109
Epoch 73: Loss = 0.0094
Epoch 74: Loss = 0.0040
Epoch 75: Loss = 0.0057
Epoch 76: Loss = 0.0189
Epoch 77: Loss = 0.0227
Epoch 78: Loss = 0.0229
Epoch 79: Loss = 0.0062
Epoch 80: Loss = 0.0016
Epoch 81: Loss = 0.0045
Epoch 82: Loss = 0.0126
Epoch 83: Loss = 0.0088
Epoch 84: Loss = 0.0097
Epoch 85: Loss = 0.0095
Epoch 86: Loss = 0.0216
Epoch 87: Loss = 0.0136
Epoch 88: Loss = 0.0057
Epoch 89: Loss = 0.0084
Epoch 90: Loss = 0.0146
Epoch 91: Loss = 0.0158
Epoch 92: Loss = 0.0147
Epoch 93: Loss = 0.0205
Epoch 94: Loss = 0.0139
Epoch 95: Loss = 0.0182
Epoch 96: Loss = 0.0091
Epoch 97: Loss = 0.0168
Epoch 98: Loss = 0.0013
Epoch 99: Loss = 0.0295
Epoch 100: Loss = 0.0059
Epoch 101: Loss = 0.0067
Epoch 102: Loss = 0.0123
Epoch 103: Loss = 0.0066
Epoch 104: Loss = 0.0024
Epoch 105: Loss = 0.0226
Epoch 106: Loss = 0.0015
Epoch 107: Loss = 0.0060
Epoch 108: Loss = 0.0083
Epoch 109: Loss = 0.0184
Epoch 110: Loss = 0.0163
Epoch 111: Loss = 0.0011
Epoch 112: Loss = 0.0036
Epoch 113: Loss = 0.0026
Epoch 114: Loss = 0.0024
Epoch 115: Loss = 0.0155
Epoch 116: Loss = 0.0002
Epoch 117: Loss = 0.0106
Epoch 118: Loss = 0.0050
Epoch 119: Loss = 0.0060
Epoch 120: Loss = 0.0050
Epoch 121: Loss = 0.0166
Epoch 122: Loss = 0.0099
Epoch 123: Loss = 0.0064
Epoch 124: Loss = 0.0115
Epoch 125: Loss = 0.0137
Epoch 126: Loss = 0.0080
Epoch 127: Loss = 0.0113
Epoch 128: Loss = 0.0033
Epoch 129: Loss = 0.0262
Epoch 130: Loss = 0.0087
Epoch 131: Loss = 0.0167
Epoch 132: Loss = 0.0033
Epoch 133: Loss = 0.0187
Epoch 134: Loss = 0.0150
Epoch 135: Loss = 0.0074
Epoch 136: Loss = 0.0019
Epoch 137: Loss = 0.0071
Epoch 138: Loss = 0.0092
Epoch 139: Loss = 0.0061
Epoch 140: Loss = 0.0110
Epoch 141: Loss = 0.0027
Epoch 142: Loss = 0.0231
Epoch 143: Loss = 0.0117
Epoch 144: Loss = 0.0067
Epoch 145: Loss = 0.0120
Epoch 146: Loss = 0.0040
Epoch 147: Loss = 0.0109
Epoch 148: Loss = 0.0042
Epoch 149: Loss = 0.0082
Epoch 150: Loss = 0.0041
Final Loss: 0.0041
Training Time: 1.56 seconds
----------------------------------------
Configuration: code1_dynamic0_ir1_cfg1
Epoch 1: Loss = 0.0321
Epoch 2: Loss = 0.0113
Epoch 3: Loss = 0.0066
Epoch 4: Loss = 0.0179
Epoch 5: Loss = 0.0022
Epoch 6: Loss = 0.0127
Epoch 7: Loss = 0.0276
Epoch 8: Loss = 0.0030
Epoch 9: Loss = 0.0103
Epoch 10: Loss = 0.0017
Epoch 11: Loss = 0.0114
Epoch 12: Loss = 0.0038
Epoch 13: Loss = 0.0093
Epoch 14: Loss = 0.0033
Epoch 15: Loss = 0.0038
Epoch 16: Loss = 0.0273
Epoch 17: Loss = 0.0100
Epoch 18: Loss = 0.0035
Epoch 19: Loss = 0.0149
Epoch 20: Loss = 0.0218
Epoch 21: Loss = 0.0077
Epoch 22: Loss = 0.0036
Epoch 23: Loss = 0.0168
Epoch 24: Loss = 0.0195
Epoch 25: Loss = 0.0166
Epoch 26: Loss = 0.0101
Epoch 27: Loss = 0.0076
Epoch 28: Loss = 0.0166
Epoch 29: Loss = 0.0141
Epoch 30: Loss = 0.0119
Epoch 31: Loss = 0.0031
