comm_id,comm_size,comm_type,rank,root,time_stamp,comm_time(us),sendsize,sendcount,recvsize,recvcount,src,dst
1140850688,16,0,9,0,2411.9922,32177.9880,1,2048,0,0,-1,-1
1140850688,16,1,9,-1,2412.0267,448.7020,8,4,0,0,-1,-1
1140850688,16,1,9,-1,2412.0272,67.9400,8,1,0,0,-1,-1
1140850688,16,1,9,-1,2412.0274,221.2810,8,1,0,0,-1,-1
-2080374784,16,0,9,0,2412.0276,298.1210,2,1,0,0,-1,-1
-2080374784,16,0,9,0,2412.0280,22873.1900,2,1,0,0,-1,-1
-2080374784,16,0,9,0,2412.0508,3.8810,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0508,198.9200,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0510,53.0210,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0511,161.3200,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0513,42.4600,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0513,170.7010,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0515,34.3800,2,1,0,0,-1,-1
-2080374784,16,0,9,0,2412.0516,3.3600,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0516,162.0610,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0517,55.4600,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0518,159.9810,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0519,53.0800,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0520,213.0810,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0522,1.8000,2,1,0,0,-1,-1
-2080374784,16,0,9,0,2412.0522,0.4800,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0522,158.7810,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0524,41.0000,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0524,183.5410,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0526,25.2000,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0527,152.0600,8,5001,0,0,-1,-1
-2080374784,16,0,9,0,2412.0528,22.8000,1,24,0,0,-1,-1
-2080374784,16,0,9,0,2412.0529,218.1000,8,5001,0,0,-1,-1
