comm_id,comm_size,comm_type,rank,root,time_stamp,comm_time(us),sendsize,sendcount,recvsize,recvcount,src,dst
1140850688,16,0,11,0,2411.9930,30782.2620,1,2048,0,0,-1,-1
1140850688,16,1,11,-1,2412.0267,423.8010,8,4,0,0,-1,-1
1140850688,16,1,11,-1,2412.0272,81.9000,8,1,0,0,-1,-1
1140850688,16,1,11,-1,2412.0274,226.6810,8,1,0,0,-1,-1
-2080374784,16,0,11,0,2412.0276,296.6210,2,1,0,0,-1,-1
-2080374784,16,0,11,0,2412.0279,22921.1110,2,1,0,0,-1,-1
-2080374784,16,0,11,0,2412.0508,100.7600,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0509,107.4000,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0511,50.6810,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0511,143.1800,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0513,65.7400,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0513,172.0210,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0515,35.5400,2,1,0,0,-1,-1
-2080374784,16,0,11,0,2412.0516,2.1800,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0516,152.7010,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0517,64.0000,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0518,171.1010,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0520,43.7800,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0520,172.4810,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0522,34.6800,2,1,0,0,-1,-1
-2080374784,16,0,11,0,2412.0522,2.8600,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0522,194.2410,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0524,18.5800,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0525,156.1210,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0526,49.6200,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0527,153.1200,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0528,23.6000,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0529,212.2610,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0531,39.8800,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0531,145.6400,8,5001,0,0,-1,-1
-2080374784,16,0,11,0,2412.0533,63.5200,1,24,0,0,-1,-1
-2080374784,16,0,11,0,2412.0533,130.0810,8,5001,0,0,-1,-1
-2080374784,16,54,11,-1,2412.0600,229.4410,28,0,0,0,11,7
-2080374784,16,56,11,-1,2412.0603,20.6400,0,0,0,0,15,11
-2080374784,16,55,11,-1,2412.0603,10.4200,28,0,0,0,15,11
-2080374784,16,54,11,-1,2412.0603,4.4200,28,0,0,0,11,15
-2080374784,16,56,11,-1,2412.0603,46.6000,0,0,0,0,7,11
-2080374784,16,55,11,-1,2412.0604,0.8000,28,0,0,0,7,11
67108864,-1,100,11,-1,2412.0604,18.8600,0,0,0,0,-1,-1
67108864,-1,100,11,-1,2412.0604,0.2000,0,0,0,0,-1,-1
67108864,-1,100,11,-1,2412.0604,0.3000,0,0,0,0,-1,-1
67108864,-1,100,11,-1,2412.0604,0.1400,0,0,0,0,-1,-1
-2080374784,16,54,11,-1,2412.0604,2.3000,28,0,0,0,11,9
-2080374784,16,56,11,-1,2412.0604,420.4220,0,0,0,0,9,11
-2080374784,16,55,11,-1,2412.0608,0.6600,28,0,0,0,9,11
-2080374784,16,54,11,-1,2412.0608,1.1000,28,0,0,0,11,9
-2080374784,16,56,11,-1,2412.0608,1.6200,0,0,0,0,9,11
-2080374784,16,55,11,-1,2412.0608,0.4600,28,0,0,0,9,11
67108864,-1,100,11,-1,2412.0608,0.2800,0,0,0,0,-1,-1
67108864,-1,100,11,-1,2412.0608,0.1400,0,0,0,0,-1,-1
67108864,-1,100,11,-1,2412.0608,0.1000,0,0,0,0,-1,-1
67108864,-1,100,11,-1,2412.0608,0.1200,0,0,0,0,-1,-1
-2080374784,16,54,11,-1,2412.0608,1.5000,28,0,0,0,11,10
-2080374784,16,56,11,-1,2412.0608,1.0400,0,0,0,0,10,11
-2080374784,16,55,11,-1,2412.0608,0.4800,28,0,0,0,10,11
-2080374784,16,54,11,-1,2412.0608,1.0400,28,0,0,0,11,10
-2080374784,16,56,11,-1,2412.0608,8.3400,0,0,0,0,10,11
-2080374784,16,55,11,-1,2412.0609,0.5600,28,0,0,0,10,11
67108864,-1,100,11,-1,2412.0609,0.2600,0,0,0,0,-1,-1
